Wardno,Partno,From,To,EnglishBoothAddress,MarathiBoothAddress
134,44,,,Z.P.Primary School Nimbavali Room No.1. Tal.Wada. Dist.Palghar. 401204,जिल्हा परिषद प्राथमिक शाळा . निंबवली. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
134,45,,,Z.P.Primary School Gorad Room No.1. Tal.Wada. Dist.Palghar. 401204,जिल्हा परिषद प्राथमिक शाळा . गोराड. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
134,46,,,Z.P.Primary School Kelthan. Room No. 1. Tal.Wada. Dist.Palghar. 401204,जिल्हा परिषद प्राथमिक शाळा . केलठण. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 401204
134,47,,,Z.P.Primary School Kelthan. Room No. 2. Tal.Wada. Dist.Palghar. 401204,जिल्हा परिषद प्राथमिक शाळा . केलठण. खोली क्र. 2 तालुका वाडा जिल्हा पालघर- 401204
134,48,,,Z.P.Primary School Musarane Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . मुसारणे. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,49,,,Z.P.Primary School Chichghar. Room No. 1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . चिंचघर. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,50,,,Z.P.Primary School Chichghar. Room No. 2. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . चिंचघर. खोली क्र. 2 तालुका वाडा जिल्हा पालघर- 421312
134,51,,,Z.P.Primary Urdu School Vadavli T.Polbar Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद उर्दु शाळा . वडवली तर्फे पोलबार. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,52,,,Z.P.Primary Marathi School Vadavli Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद मराठी शाळा . वडवली तर्फे पोलबार. खोली क्र.1 तालुका वाडा जिल्हा पालघर- 421312
134,53,,,Z.P.Primary School Kudus Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . कुडुस. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,54,,,Z.P.Primary School Kudus Room No. 2. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . कुडुस. खोली क्र. 2 तालुका वाडा जिल्हा पालघर- 421312
134,55,,,Z.P.Primary School Kudus Room No.3. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . कुडुस. खोली क्र. 3 तालुका वाडा जिल्हा पालघर- 421312
134,56,,,Z.P.Primary School Kudus Room No.4. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . कुडुस. खोली क्र. 4 तालुका वाडा जिल्हा पालघर- 421312
134,57,,,Z.P.Primary School Sapronde Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . सापरोंडे. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,58,,,Z.P.Primary School Kondhale Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . कोंडले. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,59,,,Z.P.Primary School Kondhale Room No.2. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . कोंडले. खोली क्र. 2 तालुका वाडा जिल्हा पालघर- 421312
134,60,,,Z.P.Primary School Mohatyachapada. Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . मोहटयाचा पाडा. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,61,,,Z.P.Primary School Mangathane Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . मांगाठणे. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,62,,,Z.P.Primary School Uchat Room No.1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . उचाट. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
134,63,,,Z.P.Primary School Nare Room No. 1. Tal.Wada. Dist.Palghar. 421312,जिल्हा परिषद प्राथमिक शाळा . नारे. खोली क्र. 1 तालुका वाडा जिल्हा पालघर- 421312
