Wardno,Partno,From ,to,EnglishBoothAddress,MarathiBoothAddress
143,35,,,Kdmc Reservation No.297(Dindayal RoadDombivali West 421202) - Ground Floor Mandap,कडोंमपा आरक्षण क्रमांक २९७(दिनदयाळ रोड डोंबिवली पश्चिम ४२१ २०२) - तळमजला मंडप
143,36,,,Kdmc Marathi School No.20 (Mothagaon Thakurli Dombivali West 421202) - Ground Floor Room No.1,कडोंमपा मराठी शाळा क्र.२० (मोठागाव ठाकुर्ली डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.१
143,37,,,Kdmc Marathi School No.20 (Mothagaon Thakurli Dombivali West 421202) - Ground Floor Room No.2,कडोंमपा मराठी शाळा क्र.२० (मोठागाव ठाकुर्ली डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.२
143,38,,,Kdmc Marathi School No.20 (Mothagaon Thakurli Dombivali West 421202) - Ground Floor Room No.3,कडोंमपा मराठी शाळा क्र.२० (मोठागाव ठाकुर्ली डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.३
143,39,,,Kdmc Marathi School No.20 (Mothagaon Thakurli Dombivali West 421202) - Ground Floor Room No.4,कडोंमपा मराठी शाळा क्र.२० (मोठागाव ठाकुर्ली डोंबिवली पश्चिम ४२१२०२) - तळमजला खोली क्र.४
143,40,,,Kdmc Marathi School No.20 (Mothagaon Thakurli Dombivali West 421202) - Ground Floor Shikshan Mandal Rcc Room,कडोंमपा मराठी शाळा क्र.२० (मोठागाव ठाकुर्ली डोंबिवली पश्चिम ४२१२०२) - तळमजला शिक्षण मंडळातर्फे आरसीसी खोली
143,41,,,Kdmc Reservation (Health Center) Gagangiri Arcade(Gopinath Chowk Dombivali West 421202) - Ground Floor Partition No.1,कडोंमपा आरक्षण (आरोग्य केंद्र) गगनगिरी आर्केड(गोपीनाथ चौक डोंबिवली पश्चिम ४२१२०२) - तळमजला पार्टिशन क्र.१
143,42,,,Kdmc Reservation (Health Center) Gagangiri Arcade(Gopinath Chowk Dombivali West 421202) - Ground Floor Partition No.2,कडोंमपा आरक्षण (आरोग्य केंद्र) गगनगिरी आर्केड(गोपीनाथ चौक डोंबिवली पश्चिम ४२१२०२) - तळमजला पार्टिशन क्र.२
143,43,,,Kdmc School No.56 (Sataywan Chowk Devicha Pada Dombivali West) - Room No.1,कडोंमपा शाळा क्र.५६ (सत्यवान चौक देवीचा पाडा डोंबिवली पश्चिम ४२१२०२) - खोली क्र.१
143,44,,,Don Bosco Pre School(Amogh Siddh Retibander Road Dombivali West 421202) - Room No.1,डॉन बास्को प्री स्कूल(अमोघ सिद्ध बिल्डींग रेतीबंदर रोड डोंबिवली (प) ४२१२०२ ) - खोली क्र.१
143,45,,,Don Bosco Pre School(Amogh Siddh Retibander Road Dombivali West 421202) - Room No.2,डॉन बास्को प्री स्कूल(अमोघ सिद्ध बिल्डींग रेतीबंदर रोड डोंबिवली (प) ४२१२०२ ) - खोली क्र.२
143,46,,,Kdmc H Ward Office(Umesh Nagar Retibandar Road Dombivali West 421202) - Ground Floor Mandap Partition No.1,कडोंमपा ह प्रभाग कार्यालय (रेतीबंदर रोड उमेशनगर डोंबिवली पश्चिम ४२१२०२) - तळमजला मंडप पार्टीशन क्र.१
143,47,,,Kdmc H Ward Office(Umesh Nagar Retibandar Road Dombivali West 421202) - Ground Floor Mandap Partition No.2,कडोंमपा ह प्रभाग कार्यालय (रेतीबंदर रोड उमेशनगर डोंबिवली पश्चिम ४२१२०२) - तळमजला मंडप पार्टीशन क्र.२
143,48,,,Kdmc H Ward Office(Umesh Nagar Retibandar Road Dombivali West 421202) - Ground Floor Mandap Partition No.3,कडोंमपा ह प्रभाग कार्यालय (रेतीबंदर रोड उमेशनगर डोंबिवली पश्चिम ४२१२०२) - तळमजला मंडप पार्टीशन क्र.३
143,49,,,Kdmc H Ward Office(Umesh Nagar Retibandar Road Dombivali West 421202) - Ground Floor Mandap Partition No.4,कडोंमपा ह प्रभाग कार्यालय (रेतीबंदर रोड उमेशनगर डोंबिवली पश्चिम ४२१२०२) - तळमजला मंडप पार्टीशन क्र.४
143,50,,,Kdmc H Ward Office(Umesh Nagar Retibandar Road Dombivali West 421202) - Ground Floor Mandap Partition No.5,कडोंमपा ह प्रभाग कार्यालय (रेतीबंदर रोड उमेशनगर डोंबिवली पश्चिम ४२१२०२) - तळमजला मंडप पार्टीशन क्र.५
143,51,,,Model English School Kerliyan Samaj (Kumbharkhan Pada Dombivali West 421202) - Ground Floor Hall Partition No.1,मॉडेल इंग्लिश स्कूल (केरलीयन समाज) (कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टीशन क्र.१
143,52,,,Model English School Kerliyan Samaj (Kumbharkhan Pada Dombivali West 421202) - Ground Floor Hall Partition No.2,मॉडेल इंग्लिश स्कूल (केरलीयन समाज) (कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टीशन क्र.२
143,53,,,Model English School Kerliyan Samaj (Kumbharkhan Pada Dombivali West 421202) - Ground Floor Hall Partition No.3,मॉडेल इंग्लिश स्कूल (केरलीयन समाज) (कुंभारखान पाडा डोंबिवली पश्चिम ४२१२०२) - तळमजला हॉल पार्टीशन क्र.३
